C_CODE,C_DESCR,DENSITY,SIZE_S,SIZE_M,SIZE_L
1,"BAJRA, RAW",1.123,0.001,0.001,0.001
118,CARROT,0,36.7,110,216
240,APPLE,0,83,0.001,150
125,POTATO,0,100,200,300
142,BRINJAL,0,0.001,0.001,0.001
